duration_ms,explicit,popularity,artists,album_name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,n_beats,n_bars,processing,genre,genre_val
368539,False,56,Mulatu Astatke,New York - Addis - London: The Story of Ethio Jazz 1965-1975,0.549,0.254,10,-14.48,0.0416,0.962,0.931,0.0994,0.541,81.484,3.0,497.0,166.0,0.7573891625615764,afrobeat,1
236733,False,27,陳百潭,陳百潭 一定要成功,0.568,0.3,4,-12.872,0.0299,0.546,0.0,0.336,0.685,163.779,4.0,625.0,157.0,0.916010498687664,mandopop,16
377026,False,17,Thorns,Thorns,0.606,0.674,11,-6.982,0.0714,0.151,0.0431,0.11,0.102,112.505,4.0,690.0,173.0,0.7481162540365985,black-metal,2
184090,False,58,Suzonn,Farq hai,0.8,0.209,4,-12.652,0.0408,0.865,4.11e-05,0.252,0.74,87.972,4.0,269.0,66.0,0.916010498687664,indian,11
265438,False,43,Deekline;Specimen A,All The Way Up,0.759,0.945,11,-1.518,0.192,0.0408,0.165,0.353,0.437,174.079,4.0,768.0,190.0,0.7481162540365985,breakbeat,5
231603,False,73,Rammstein,Rammstein,0.681,0.912,0,-4.159,0.0912,0.000757,0.00136,0.359,0.479,125.031,4.0,470.0,117.0,3.349056603773585,industrial,12
251695,False,55,Passion;Kristian Stanfill,Glorious Day (Radio Version),0.471,0.846,2,-4.05,0.0388,0.0174,0.0,0.148,0.314,109.997,4.0,452.0,114.0,3.70048309178744,indian,11
204000,False,24,Randy Newman,The Natural,0.0787,0.113,10,-19.777,0.0382,0.92,0.854,0.116,0.0388,81.056,4.0,237.0,59.0,0.7573891625615764,disney,7
241066,False,24,AKB48,神曲たち,0.468,0.91,5,-3.81,0.0584,0.0534,0.0,0.133,0.781,146.049,4.0,582.0,145.0,1.2793053545586106,j-idol,15
144407,False,15,Franco Piccolini;Luigi Ferrari,Rack,0.725,0.563,7,-9.273,0.104,0.0639,0.0,0.33,0.57,125.024,4.0,294.0,73.0,4.067085953878407,happy,9
98412,False,42,Ritviz,Mimmi,0.633,0.452,7,-9.119,0.0531,0.0162,0.151,0.169,0.402,114.058,4.0,185.0,46.0,4.067085953878407,indian,11
184028,False,23,G-Town Madness;The Viper,The Qontinent 2017,0.305,0.733,5,-7.226,0.0497,0.201,0.705,0.156,0.0353,151.845,4.0,422.0,105.0,1.2793053545586106,happy,9
290200,False,42,Charlie Brown Jr.,Transpiração Contínua Prolongada - Edição Comemorativa,0.724,0.646,11,-4.495,0.0658,0.0977,0.179,0.0647,0.824,143.674,4.0,686.0,172.0,0.7481162540365985,brazil,4
166373,True,23,Alkaline,Nah Tell Yuh,0.492,0.818,1,-6.253,0.332,0.441,0.0,0.125,0.691,132.824,5.0,327.0,83.0,2.36741214057508,j-dance,14
290786,False,47,Voz da Verdade,Filho de Leão,0.448,0.504,2,-4.278,0.0257,0.453,0.0,0.259,0.224,76.952,4.0,367.0,92.0,3.70048309178744,brazil,4
305947,True,0,Azhirock,Rope,0.53,0.971,8,-3.678,0.0678,0.00122,0.0368,0.361,0.574,105.01,4.0,527.0,131.0,2.7259036144578315,iranian,13
213813,False,14,Negator,Panzer Metal,0.321,0.989,8,-3.111,0.0764,1.33e-06,0.836,0.363,0.0395,109.701,4.0,378.0,95.0,2.7259036144578315,black-metal,2
223111,False,78,Alex Gaudino;Crystal Waters,Destination Calabria,0.627,0.954,2,-4.804,0.0425,0.0015,0.000814,0.292,0.312,128.016,4.0,474.0,118.0,3.70048309178744,chicago-house,6
198386,False,23,Steve Martin;Edie Brickell,So Familiar,0.737,0.269,0,-12.654,0.0309,0.91,7.69e-06,0.105,0.333,119.988,4.0,381.0,96.0,3.349056603773585,bluegrass,3
267122,False,26,Trampled by Turtles,Blue Sky and the Devil,0.527,0.542,4,-9.047,0.0363,0.466,0.000494,0.205,0.678,192.027,4.0,831.0,208.0,0.916010498687664,bluegrass,3
177586,False,47,Alextbh,no space,0.883,0.451,11,-5.214,0.0902,0.0707,0.0,0.517,0.772,109.995,4.0,323.0,80.0,0.7481162540365985,sleep,17
194333,False,18,Praveen;Shankar;Srinivas;Clinton Cerejo;DJ Aftab,Tamil Romantic Lofi,0.565,0.56,9,-8.198,0.0281,0.595,0.0025,0.207,0.592,90.016,4.0,284.0,71.0,1.343558282208589,idm,10
178933,False,22,Nickel Creek,Reason's Why (The Very Best),0.628,0.345,4,-12.036,0.0304,0.71,0.0578,0.114,0.331,140.985,4.0,402.0,100.0,0.916010498687664,bluegrass,3
189600,False,14,vibe academy,dreams of species unknown,0.498,0.148,0,-14.852,0.0463,0.884,0.81,0.0813,0.157,75.07,4.0,230.0,57.0,3.349056603773585,study,19
267278,False,15,Ed Solo;Deekline,Welcome To The Jungle: The Ultimate Jungle Cakes Drum & Bass Compilation,0.744,0.904,10,-4.418,0.047,0.00325,0.289,0.0351,0.633,87.103,4.0,384.0,95.0,0.7573891625615764,breakbeat,5
274125,False,34,Daisuke Tanabe,Cat Steps,0.696,0.656,6,-9.346,0.109,0.426,0.859,0.062,0.494,159.997,4.0,705.0,176.0,1.1709531013615733,idm,10
289493,False,15,Seiko Matsuda,SEIKO STORY〜80's HITS COLLECTION〜,0.312,0.532,0,-7.181,0.0356,0.602,5.74e-06,0.136,0.256,173.35,4.0,816.0,204.0,3.349056603773585,j-idol,15
196693,True,2,Fetty Wap;Remy Boyz,Rap Party,0.618,0.717,7,-5.737,0.318,0.00256,0.0,0.625,0.603,190.046,4.0,616.0,153.0,4.067085953878407,j-dance,14
156969,True,8,Vybz Kartel,So Much Gal,0.621,0.634,5,-5.751,0.259,0.192,0.0,0.0877,0.339,173.924,4.0,444.0,110.0,1.2793053545586106,j-dance,14
239575,False,54,冰球樂團,我好斯文,0.536,0.62,1,-5.779,0.0473,0.284,0.0,0.115,0.389,160.157,4.0,630.0,157.0,2.36741214057508,mandopop,16
169950,False,19,Cameron's Bedtime Classics,Dreamy Piano,0.713,0.0406,0,-17.008,0.232,0.993,0.912,0.0825,0.272,126.241,3.0,337.0,111.0,3.349056603773585,disney,7
